stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EXP_IEU27_2020,TOTAL,T,FR	7964189 	8622294 	8555764 	8657761 	8012134 	8072431 	9014146 	8775263 	8594198 	8669434 	9039409 	7614278 	8094138 	8397937 	8290915 	7011679 	7302692 
EXP_IEU27_2020,TOTAL,T,HR	354752 	415385 	426025 	477776 	444674 	365379 	377494 	400865 	420281 	392575 	358965 	282081 	323426 	404038 	409334 	330738 	327050 
EXP_IEU27_2020,TOTAL,T,HU	1113380 	1131373 	1249041 	1178553 	1112631 	1032120 	1139033 	1221397 	1306639 	1457659 	1169459 	680598 	785531 	663492 	763532 	861613 	958272 
EXP_IEU27_2020,TOTAL,T,IE	106538 	250415 	305717 	239504 	218193 	202677 	243135 	256397 	263803 	337462 	263521 	313824 	414243 	464583 	388371 	375246 	353521 
EXP_IEU27_2020,TOTAL,T,IT	1055423 	1227679 	1105927 	1095006 	1153603 	1005934 	942160 	853173 	973835 	988308 	1068979 	748925 	990389 	894532 	819391 	761780 	734764 
EXP_IEU27_2020,TOTAL,T,LT	187056 	182089 	207101 	205454 	213411 	229417 	329458 	375880 	519289 	456631 	462752 	287091 	377556 	361826 	392694 	318979 	437551 
EXP_IEU27_2020,TOTAL,T,LU	172729 	206813 	215763 	215883 	226683 	208652 	198242 	192599 	218596 	259030 	271349 	240553 	448756 	466770 	339376 	331470 	694756 
EXP_IEU27_2020,TOTAL,T,LV	126592 	160076 	168379 	141835 	119356 	147678 	105089 	116884 	91491 	194652 	196053 	120537 	338961 	274628 	276543 	230829 	85318 
EXP_IEU27_2020,TOTAL,T,MT	661 	758 	1220 	1276 	1373 	2460 	2729 	5868 	4272 	4328 	3511 	3062 	3395 	10357 	13084 	6214 	14916 
EXP_IEU27_2020,TOTAL,T,NL	4298515 	4461952 	4520851 	4537048 	4345873 	4205893 	4196584 	4110864 	4117201 	4261747 	4136213 	3112401 	4364973 	4700036 	4873721 	4175049 	4321115 
EXP_IEU27_2020,TOTAL,T,PL	2847737 	2867222 	2645679 	2546606 	2389745 	2304073 	2684234 	2526273 	2462438 	2421108 	1895398 	1400194 	1972162 	1712754 	1770367 	1603717 	1838337 
EXP_IEU27_2020,TOTAL,T,PT	741475 	810178 	880500 	824879 	669981 	624742 	630637 	662728 	693230 	766946 	847006 	694490 	756548 	900509 	922060 	740422 	470999 
EXP_IEU27_2020,TOTAL,T,RO	288674 	437397 	446282 	381602 	422096 	343765 	430331 	356502 	340706 	423691 	381800 	522780 	539235 	432863 	537166 	431417 	477784 
EXP_IEU27_2020,TOTAL,T,SE	1210978 	1189239 	1127579 	1123925 	1175036 	1193251 	1297120 	1231409 	1248037 	1288237 	1123957 	1012955 	1465816 	1095854 	741661 	664677 	618406 
EXP_IEU27_2020,TOTAL,T,SI	694685 	742844 	742850 	667217 	580109 	565855 	588668 	515162 	513814 	536389 	495200 	353365 	362300 	395392 	347864 	320201 	280075 
EXP_IEU27_2020,TOTAL,T,SK	1260228 	1397326 	1087336 	1038272 	949592 	884297 	885005 	733545 	630187 	822172 	623941 	420220 	670846 	475261 	607568 	426858 	509863 
EXP_IEU27_2020,TOTAL,THS_EUR,AT	677785 	767540 	866078 	773280 	715193 	696421 	768767 	712657 	810043 	811477 	705159 	472549 	742601 	650155 	591166 	372284 	392553 
EXP_IEU27_2020,TOTAL,THS_EUR,BE	1163927 	1366093 	1477400 	1328622 	1047079 	1146356 	1186902 	1099552 	1219932 	1268810 	1026622 	595286 	1024681 	1048506 	973726 	678277 	830623 
EXP_IEU27_2020,TOTAL,THS_EUR,BG	49337 	78697 	89597 	74005 	48342 	50308 	50677 	59400 	117154 	367357 	234405 	150533 	148624 	173041 	143817 	99622 	56975 
EXP_IEU27_2020,TOTAL,THS_EUR,CY	26839 	29632 	26928 	23786 	16384 	18603 	22059 	29890 	43256 	41947 	29241 	15898 	26234 	21926 	17603 	12566 	10793 
EXP_IEU27_2020,TOTAL,THS_EUR,CZ	933771 	1016514 	1152588 	1095229 	802554 	831720 	998011 	976707 	1176559 	1310395 	1200527 	698951 	984956 	821240 	675937 	416535 	424091 
EXP_IEU27_2020,TOTAL,THS_EUR,DE	5664659 	5697000 	6033439 	5919553 	5046369 	5601797 	6161806 	6007675 	7247653 	7468103 	6283082 	3300716 	6099706 	6515151 	5049487 	3516350 	3310737 
EXP_IEU27_2020,TOTAL,THS_EUR,DK	448595 	467665 	530591 	550477 	479808 	465553 	548278 	439891 	562942 	701576 	588078 	387556 	617041 	653048 	549504 	351614 	367782 
EXP_IEU27_2020,TOTAL,THS_EUR,EE	99804 	113005 	126532 	105155 	63223 	53928 	61661 	62603 	111909 	117188 	108389 	40422 	74546 	59010 	60311 	39788 	32433 
EXP_IEU27_2020,TOTAL,THS_EUR,EL	68668 	76452 	65987 	69478 	51637 	50745 	60001 	93346 	130633 	103811 	81473 	39090 	58652 	66154 	65487 	30455 	34752 
EXP_IEU27_2020,TOTAL,THS_EUR,ES	694310 	688454 	702071 	593296 	481330 	508385 	559741 	538300 	522293 	485155 	484729 	242405 	336633 	340561 	289712 	190836 	179546 
EXP_IEU27_2020,TOTAL,THS_EUR,EU27_2020	20068311 	21309263 	22656853 	21304351 	17654402 	19008370 	20799189 	20385304 	24188852 	25335617 	21329264 	11570704 	20459848 	20500044 	17239178 	11543404 	11292289 
EXP_IEU27_2020,TOTAL,THS_EUR,FI	231704 	190096 	209038 	174476 	128911 	137173 	144482 	159336 	156742 	149754 	103224 	75990 	100936 	118631 	85139 	67946 	58057 
EXP_IEU27_2020,TOTAL,THS_EUR,FR	2765874 	3117657 	3435236 	3311260 	2611720 	2918554 	3505666 	3492420 	3917484 	4232729 	3634899 	1979136 	3629077 	3565241 	3188382 	2053976 	1996756 
EXP_IEU27_2020,TOTAL,THS_EUR,HR	133998 	160181 	182541 	176485 	137658 	197953 	172670 	209054 	225662 	208350 	169458 	84325 	147514 	157493 	141198 	94026 	81505 
EXP_IEU27_2020,TOTAL,THS_EUR,HU	451343 	488958 	544586 	485854 	391208 	414077 	482608 	555783 	673642 	669020 	414941 	191167 	317145 	284036 	280313 	259419 	250900 
EXP_IEU27_2020,TOTAL,THS_EUR,IE	46054 	70344 	85400 	75496 	54738 	55184 	75885 	75606 	84696 	106155 	72041 	56053 	125905 	117709 	106180 	81274 	73786 
EXP_IEU27_2020,TOTAL,THS_EUR,IT	733844 	787759 	815407 	789237 	711580 	685770 	590086 	557069 	775910 	664410 	657231 	358121 	641234 	616553 	455892 	317424 	333565 
EXP_IEU27_2020,TOTAL,THS_EUR,LT	265384 	229673 	188103 	150338 	131708 	142465 	176602 	169708 	223001 	180194 	137776 	64109 	124089 	120520 	88260 	59750 	72376 
EXP_IEU27_2020,TOTAL,THS_EUR,LU	72036 	58275 	61299 	56483 	49803 	51194 	45449 	45130 	54858 	64563 	54675 	38823 	125431 	102169 	80106 	64010 	76144 
EXP_IEU27_2020,TOTAL,THS_EUR,LV	56924 	71914 	71852 	70142 	45946 	49452 	47632 	46126 	51430 	114530 	76003 	32002 	130856 	88351 	82232 	50687 	23309 
EXP_IEU27_2020,TOTAL,THS_EUR,MT	1091 	1092 	2707 	2222 	2230 	4470 	5163 	5824 	7010 	5848 	4606 	2600 	3166 	4916 	5714 	3453 	4535 
EXP_IEU27_2020,TOTAL,THS_EUR,NL	2531528 	2612996 	2770541 	2633193 	2294979 	2520103 	2449798 	2429951 	3213201 	3186388 	2650503 	1327536 	2374968 	2624188 	2340048 	1512650 	1509999 
EXP_IEU27_2020,TOTAL,THS_EUR,PL	1388001 	1458429 	1386191 	1220822 	1018950 	1042659 	1133204 	1050349 	1087268 	1144865 	981820 	527716 	976209 	879396 	748748 	481151 	508629 
EXP_IEU27_2020,TOTAL,THS_EUR,PT	313974 	356036 	388183 	331717 	251801 	257570 	279722 	282402 	349712 	398283 	341960 	170346 	271609 	317572 	314861 	221554 	154272 
EXP_IEU27_2020,TOTAL,THS_EUR,RO	208288 	266799 	268925 	212063 	190498 	195997 	246262 	245702 	289716 	346887 	290501 	192118 	288073 	235291 	223256 	106154 	103978 
EXP_IEU27_2020,TOTAL,THS_EUR,SE	414917 	423515 	438618 	411326 	374185 	380091 	421170 	409192 	466424 	484179 	375872 	243259 	512948 	416898 	287816 	208789 	184339 
EXP_IEU27_2020,TOTAL,THS_EUR,SI	249664 	296810 	312222 	260911 	199605 	221719 	254534 	242728 	273835 	277515 	235134 	109702 	154696 	180385 	159682 	94009 	77303 
EXP_IEU27_2020,TOTAL,THS_EUR,SK	375993 	417679 	424791 	409445 	306962 	310123 	350350 	388903 	395885 	426129 	386916 	174294 	422320 	321902 	234601 	158806 	142551 
EXP_IEU28,CAN,T,AT	: 	205464 	197059 	213740 	254770 	205417 	228771 	199989 	184585 	158064 	170577 	165418 	129566 	133330 	123358 	108384 	117903 
EXP_IEU28,CAN,T,BE	: 	337764 	311841 	297611 	259661 	252718 	242764 	255858 	248665 	272485 	219142 	152226 	198868 	216563 	213852 	176476 	162122 
EXP_IEU28,CAN,T,BG	: 	28002 	29492 	25867 	22781 	19270 	20090 	19996 	18748 	19660 	24472 	12665 	18636 	22855 	24746 	15927 	19101 
EXP_IEU28,CAN,T,CY	: 	4273 	3953 	3413 	3041 	2715 	2713 	2878 	3590 	2115 	2596 	1775 	3126 	3600 	2796 	2700 	2190 
EXP_IEU28,CAN,T,CZ	: 	122208 	130769 	129362 	125019 	126895 	126567 	114899 	151503 	162155 	178093 	139439 	116296 	118149 	109380 	86939 	81086 
EXP_IEU28,CAN,T,DE	: 	1160517 	1187502 	1196482 	1248395 	1284481 	1236591 	1078296 	1137807 	1106758 	995215 	841024 	908697 	990259 	908487 	813988 	759213 
EXP_IEU28,CAN,T,DK	: 	103765 	102644 	97293 	85363 	82331 	87599 	75258 	68954 	72258 	65810 	68475 	66879 	50353 	61236 	64694 	64850 
EXP_IEU28,CAN,T,EE	: 	14059 	14590 	15147 	13305 	11899 	12852 	11554 	12883 	64830 	67933 	7715 	20697 	10748 	12315 	12563 	9705 
EXP_IEU28,CAN,T,EL	: 	17581 	14633 	14695 	12184 	13216 	15195 	18705 	22519 	23945 	21465 	9995 	13346 	15418 	18236 	11337 	12019 
EXP_IEU28,CAN,T,ES	: 	132616 	128801 	123294 	122856 	106658 	93043 	92696 	120293 	77549 	92776 	84649 	146993 	61097 	70201 	73163 	76531 
EXP_IEU28,CAN,T,EU28	: 	4837792 	4730737 	4568039 	4459497 	4247045 	4266490 	3935995 	4088196 	4001780 	3804379 	2998802 	3498887 	3606660 	3436203 	2888669 	2771506 
EXP_IEU28,CAN,T,FI	: 	66731 	74616 	57640 	48758 	40594 	32983 	35462 	32229 	30203 	29721 	30648 	36525 	41474 	29511 	23989 	29718 
EXP_IEU28,CAN,T,FR	: 	667818 	659813 	629430 	606200 	594683 	673593 	619156 	604009 	615278 	604194 	456926 	546010 	598674 	560948 	499975 	496213 
EXP_IEU28,CAN,T,HR	: 	46098 	45204 	38261 	31092 	33926 	30602 	32500 	35140 	31704 	29216 	23509 	27162 	31732 	30929 	26048 	20538 
EXP_IEU28,CAN,T,HU	: 	128745 	116122 	103574 	96555 	93640 	99917 	105975 	98788 	89858 	63405 	49807 	40949 	49569 	57567 	71997 	68722 
EXP_IEU28,CAN,T,IE	: 	78054 	47722 	37961 	31833 	29138 	31193 	35687 	29059 	31760 	29152 	36151 	30913 	31530 	34471 	29361 	27265 
EXP_IEU28,CAN,T,IT	: 	217749 	217518 	209742 	214558 	202296 	160297 	145390 	156642 	140386 	140908 	120206 	144466 	125543 	109679 	105153 	95522 
EXP_IEU28,CAN,T,LT	: 	28110 	25618 	22858 	25952 	24573 	23477 	18678 	13495 	9978 	5676 	4295 	5152 	5621 	7010 	8239 	17173 
EXP_IEU28,CAN,T,LU	: 	11403 	11339 	10405 	12158 	12254 	6839 	7253 	9014 	8277 	8843 	9628 	11321 	11113 	9258 	10302 	11262 
EXP_IEU28,CAN,T,LV	: 	8645 	7109 	8877 	8316 	9163 	8607 	7089 	6736 	13078 	7938 	5511 	7136 	6439 	6207 	8272 	5832 
EXP_IEU28,CAN,T,MT	: 	372 	825 	680 	1060 	2136 	2521 	2305 	2653 	2323 	2462 	2012 	1985 	1754 	2183 	2263 	1703 
EXP_IEU28,CAN,T,NL	: 	418999 	434861 	423355 	418869 	364362 	369277 	322068 	369075 	306213 	308295 	250961 	302740 	340084 	413837 	235704 	220010 
EXP_IEU28,CAN,T,PL	: 	328822 	321847 	292673 	285881 	238005 	225000 	197791 	187121 	198616 	184692 	143740 	179274 	169841 	156358 	121411 	109383 
EXP_IEU28,CAN,T,PT	: 	72163 	69827 	61903 	59936 	57346 	60758 	58775 	76279 	76045 	81029 	41681 	63521 	69985 	76055 	80063 	62884 
EXP_IEU28,CAN,T,RO	: 	53670 	50433 	41419 	38931 	37300 	38592 	43040 	50073 	49046 	45801 	40500 	43507 	33071 	28028 	10180 	8153 
EXP_IEU28,CAN,T,SE	: 	216402 	201717 	174149 	111070 	97158 	98243 	92168 	93559 	80621 	69959 	73423 	116630 	124981 	80205 	73831 	84440 
EXP_IEU28,CAN,T,SI	: 	69842 	66243 	57987 	50319 	54717 	61811 	64881 	66199 	58431 	57977 	37709 	38483 	43204 	42959 	32552 	26843 
EXP_IEU28,CAN,T,SK	: 	97671 	85016 	108331 	66353 	59200 	50751 	56192 	42383 	34597 	24942 	23690 	31511 	32351 	27892 	19181 	17467 
EXP_IEU28,CAN,T,UK	: 	200249 	173624 	171889 	204280 	190951 	225845 	221459 	246194 	265550 	272090 	165024 	248500 	267323 	218503 	163977 	163658 
EXP_IEU28,CAN,THS_EUR,AT	: 	295620 	316029 	323598 	338646 	306872 	329316 	306579 	333976 	285620 	281121 	181455 	193143 	212954 	217607 	122896 	108373 
EXP_IEU28,CAN,THS_EUR,BE	: 	474893 	492763 	469747 	362775 	387874 	364280 	441327 	488334 	528560 	379073 	176619 	325011 	384322 	381909 	212223 	185994 
EXP_IEU28,CAN,THS_EUR,BG	: 	35143 	55577 	47195 	34252 	30743 	31073 	37411 	41981 	44681 	65426 	21115 	41213 	51991 	58921 	21610 	22652 
EXP_IEU28,CAN,THS_EUR,CY	: 	9877 	8525 	7996 	5814 	6285 	5403 	6483 	7722 	5078 	5949 	2522 	6026 	7438 	5581 	3886 	3037 
EXP_IEU28,CAN,THS_EUR,CZ	: 	266541 	315645 	283104 	231014 	261895 	295104 	299472 	400211 	490856 	559003 	359652 	301378 	314021 	285362 	138627 	112367 
EXP_IEU28,CAN,THS_EUR,DE	: 	1884895 	2071453 	2140536 	1912023 	2265201 	2187101 	1980139 	2346413 	2434813 	2065668 	1073915 	1655491 	2020030 	1764458 	1053044 	898732 
EXP_IEU28,CAN,THS_EUR,DK	: 	192853 	193194 	176750 	129305 	130718 	139249 	130572 	125462 	151184 	116165 	81855 	105053 	98446 	128244 	77852 	79543 
EXP_IEU28,CAN,THS_EUR,EE	: 	26836 	30590 	32202 	24509 	23137 	22819 	22117 	26899 	39137 	38589 	12089 	23231 	22442 	19619 	9387 	11810 
EXP_IEU28,CAN,THS_EUR,EL	: 	57532 	48119 	50862 	34982 	33740 	44169 	66564 	104553 	71567 	53832 	20682 	29174 	37716 	39530 	16038 	14991 
EXP_IEU28,CAN,THS_EUR,ES	: 	331758 	360820 	311256 	258906 	272676 	241782 	245287 	284510 	214446 	271305 	127699 	202804 	181857 	189921 	130250 	118564 
EXP_IEU28,CAN,THS_EUR,EU28	: 	8439280 	9001061 	8536939 	7322741 	7994196 	8033092 	7914155 	9254426 	9317480 	8199511 	4345210 	6849195 	7751641 	7170173 	3992725 	3372855 
EXP_IEU28,CAN,THS_EUR,FI	: 	102707 	119091 	89432 	62425 	61873 	55282 	61065 	65140 	67428 	63525 	37068 	49648 	63969 	43550 	28840 	24949 
EXP_IEU28,CAN,THS_EUR,FR	: 	1087157 	1204871 	1159739 	949369 	1047499 	1216694 	1188933 	1328964 	1378521 	1143512 	591563 	1065100 	1224323 	1217581 	660020 	575755 
EXP_IEU28,CAN,THS_EUR,HR	: 	77945 	86717 	70528 	49132 	65581 	61896 	74081 	90740 	82578 	68609 	35913 	58587 	71840 	62225 	27184 	19849 
EXP_IEU28,CAN,THS_EUR,HU	: 	243044 	253185 	221270 	178711 	181341 	201493 	227070 	248534 	215815 	120835 	83144 	100089 	119681 	129948 	111619 	87638 
EXP_IEU28,CAN,THS_EUR,IE	: 	74608 	71671 	63105 	47868 	51402 	53941 	53982 	59324 	63058 	58880 	32466 	61439 	66510 	64327 	39659 	38161 
EXP_IEU28,CAN,THS_EUR,IT	: 	469878 	473787 	469566 	441536 	432093 	365714 	350435 	469515 	377596 	409106 	238825 	364488 	362675 	285268 	190604 	156966 
EXP_IEU28,CAN,THS_EUR,LT	: 	50078 	49774 	48349 	52777 	59634 	55920 	40353 	26570 	15737 	7586 	4816 	8819 	9054 	11096 	7545 	11826 
EXP_IEU28,CAN,THS_EUR,LU	: 	21231 	20969 	17369 	16343 	18743 	10681 	11988 	13837 	13451 	14350 	10485 	18290 	20872 	17334 	12391 	9603 
EXP_IEU28,CAN,THS_EUR,LV	: 	17360 	15524 	20947 	17540 	20656 	20092 	17935 	23018 	54367 	22020 	11038 	16945 	18622 	21166 	15864 	10471 
EXP_IEU28,CAN,THS_EUR,MT	: 	930 	2441 	1763 	1685 	4130 	4709 	4650 	5531 	4372 	3879 	2218 	2450 	2858 	3136 	1979 	1807 
EXP_IEU28,CAN,THS_EUR,NL	: 	798901 	861800 	804561 	722366 	790654 	641658 	574899 	746621 	664764 	527752 	308827 	523044 	647975 	646330 	308397 	262869 
EXP_IEU28,CAN,THS_EUR,PL	: 	608923 	642023 	529214 	418241 	428641 	392080 	368456 	356189 	414032 	430948 	230274 	376566 	378379 	322619 	157853 	129865 
EXP_IEU28,CAN,THS_EUR,PT	: 	159245 	167000 	139026 	123949 	134210 	142617 	138578 	188679 	179920 	160991 	57554 	110882 	144670 	179302 	119984 	87720 
EXP_IEU28,CAN,THS_EUR,RO	: 	160234 	151553 	125443 	105380 	122449 	143809 	167928 	218533 	223409 	167458 	91852 	112177 	97568 	91934 	20018 	12073 
EXP_IEU28,CAN,THS_EUR,SE	: 	217055 	221181 	187270 	140636 	149998 	155143 	145695 	149599 	148171 	115416 	76595 	167858 	182169 	127435 	86384 	72015 
EXP_IEU28,CAN,THS_EUR,SI	: 	135562 	129661 	105040 	86514 	99240 	108170 	112847 	133762 	126293 	118330 	53666 	74777 	98283 	97233 	45562 	34498 
EXP_IEU28,CAN,THS_EUR,SK	: 	145398 	172977 	168724 	122453 	122094 	127559 	206864 	172315 	145026 	122478 	68658 	175300 	107094 	90373 	48278 	25671 
EXP_IEU28,CAN,THS_EUR,UK	: 	493075 	464123 	472345 	453592 	484817 	615339 	632443 	797495 	877002 	807704 	352644 	680212 	803880 	668166 	324730 	255058 
EXP_IEU28,MT_FER,T,AT	: 	961662 	997671 	1181317 	1050763 	998826 	1003308 	910739 	971363 	892160 	918713 	1037746 	1320193 	1241322 	1116256 	994831 	1114039 
EXP_IEU28,MT_FER,T,BE	: 	1132344 	1266732 	1258758 	1107725 	1186174 	1350120 	1169773 	1382790 	1271273 	1365737 	1336045 	1511172 	1601832 	1768340 	1402791 	1677112 
EXP_IEU28,MT_FER,T,BG	: 	67285 	69412 	53838 	19114 	33397 	29593 	39179 	44520 	142282 	183821 	137567 	150753 	275983 	275404 	350992 	186137 
EXP_IEU28,MT_FER,T,CY	: 	79821 	66875 	63509 	53023 	60564 	71672 	93870 	124510 	123848 	91577 	75625 	69488 	62484 	65526 	52242 	45301 
EXP_IEU28,MT_FER,T,CZ	: 	2247972 	2279028 	2247442 	1798933 	1670276 	1973100 	1851351 	1991335 	1995820 	1821391 	1438424 	1817391 	1674944 	1480181 	1727183 	1439776 
EXP_IEU28,MT_FER,T,DE	: 	7237686 	7407134 	7609425 	7600146 	7286363 	8157577 	8019017 	8091487 	8292607 	7917262 	6062373 	7604743 	7756522 	7518778 	7041251 	7355162 
EXP_IEU28,MT_FER,T,DK	: 	572188 	688743 	813900 	915080 	787838 	908923 	636699 	795824 	1088809 	999472 	909542 	1168558 	1392980 	1084688 	972521 	1105376 
EXP_IEU28,MT_FER,T,EE	: 	64659 	71075 	92365 	41846 	37342 	56139 	74343 	169409 	185812 	194949 	96807 	178971 	135979 	180860 	152997 	95411 
EXP_IEU28,MT_FER,T,EL	: 	7421 	13026 	7091 	4872 	1656 	16836 	18177 	20648 	36642 	47294 	19049 	28876 	23313 	36787 	37068 	47336 
EXP_IEU28,MT_FER,T,ES	: 	428856 	522524 	345584 	301011 	319967 	534682 	402401 	422102 	240057 	196172 	216778 	158642 	139123 	92801 	98483 	160968 
EXP_IEU28,MT_FER,T,EU28	: 	28629889 	29431686 	29523075 	27348665 	27692015 	30735310 	29643713 	30256853 	31850028 	30609113 	24847366 	32175509 	32051354 	31737017 	28419865 	30711922 
EXP_IEU28,MT_FER,T,FI	: 	255915 	261530 	270055 	197106 	248694 	291524 	343279 	298310 	279329 	145808 	167761 	138257 	222840 	165464 	119110 	106781 
EXP_IEU28,MT_FER,T,FR	: 	5707397 	5546068 	5422416 	4774715 	4925172 	5752851 	5517193 	5326877 	5484560 	5979665 	4921563 	5654153 	5886592 	5922060 	4819309 	5333995 
EXP_IEU28,MT_FER,T,HR	: 	207361 	238372 	313633 	292135 	225653 	227785 	242106 	296842 	291775 	257400 	202218 	247097 	320359 	336742 	269391 	276182 
EXP_IEU28,MT_FER,T,HU	: 	768151 	893872 	871265 	860650 	797629 	902180 	967005 	1060669 	1197278 	977702 	573270 	603028 	542207 	656387 	730625 	853203 
EXP_IEU28,MT_FER,T,IE	: 	447918 	543222 	428763 	361038 	339000 	422096 	395702 	389462 	537317 	468047 	414495 	489217 	475542 	387997 	356259 	354152 
EXP_IEU28,MT_FER,T,IT	: 	288657 	225792 	237973 	211480 	177402 	130487 	100009 	110130 	110481 	118566 	140310 	281007 	122583 	88564 	67811 	128479 
EXP_IEU28,MT_FER,T,LT	: 	47560 	66481 	58144 	57393 	95609 	195336 	264872 	419118 	380020 	404362 	247012 	348399 	352447 	381210 	317505 	412827 
EXP_IEU28,MT_FER,T,LU	: 	107641 	115780 	115915 	121139 	106190 	100012 	94126 	107499 	150080 	167039 	134443 	345800 	358984 	250357 	247760 	597442 
EXP_IEU28,MT_FER,T,LV	: 	76005 	88498 	66054 	46170 	88058 	49744 	68731 	48713 	154131 	161933 	88394 	300462 	240982 	244519 	197935 	57268 
EXP_IEU28,MT_FER,T,MT	: 	100 	169 	525 	464 	536 	560 	2662 	733 	636 	758 	662 	613 	9130 	11504 	4107 	13960 
EXP_IEU28,MT_FER,T,NL	: 	2490883 	2672674 	2716968 	2535530 	2713693 	2611102 	2733049 	2548304 	2620622 	2555396 	1772682 	2792416 	3015754 	3134723 	2697977 	2933921 
EXP_IEU28,MT_FER,T,PL	: 	1435332 	1375819 	1357106 	1256786 	1341625 	1803399 	1699252 	1699252 	1672041 	1270066 	897110 	1322792 	1125381 	1198074 	1226804 	1560905 
EXP_IEU28,MT_FER,T,PT	: 	413034 	480635 	407892 	227245 	199122 	222151 	239627 	234894 	275152 	336211 	252490 	278458 	406754 	510047 	362815 	255938 
EXP_IEU28,MT_FER,T,RO	: 	270114 	276680 	199346 	283940 	225282 	317672 	226327 	188819 	293880 	275796 	458518 	495607 	403906 	505331 	418438 	479129 
EXP_IEU28,MT_FER,T,SE	: 	494543 	483420 	509935 	521922 	594186 	698315 	639084 	683529 	747977 	681307 	664366 	1050855 	719858 	499711 	438234 	361322 
EXP_IEU28,MT_FER,T,SI	: 	467191 	479150 	437347 	363504 	358212 	380719 	329513 	306174 	321511 	281161 	223393 	193559 	240555 	224585 	223612 	198699 
EXP_IEU28,MT_FER,T,SK	: 	931098 	639220 	610755 	575990 	518469 	519737 	358350 	404495 	626075 	480541 	318393 	527748 	417652 	535066 	375809 	455617 
EXP_IEU28,MT_FER,T,UK	: 	1421095 	1662081 	1825753 	1768943 	2355081 	2007689 	2207278 	2119045 	2437853 	2310970 	2040333 	3097255 	2885346 	3065058 	2716008 	3105485 
EXP_IEU28,MT_FER,THS_EUR,AT	: 	335868 	403960 	345396 	244563 	265656 	310121 	293235 	345815 	333520 	292884 	205452 	448745 	336030 	292467 	202339 	242266 
EXP_IEU28,MT_FER,THS_EUR,BE	: 	317032 	368653 	328923 	246648 	287918 	384722 	362551 	457399 	452992 	427398 	281966 	503797 	461133 	413095 	301290 	370336 
EXP_IEU28,MT_FER,THS_EUR,BG	: 	31777 	22963 	14887 	7251 	12404 	14107 	15916 	22796 	58819 	65889 	31188 	57935 	93116 	62673 	58598 	37719 
EXP_IEU28,MT_FER,THS_EUR,CY	: 	18485 	17595 	14873 	9608 	12631 	18248 	24136 	36626 	37223 	23170 	13404 	20308 	14678 	12131 	8850 	7716 
EXP_IEU28,MT_FER,THS_EUR,CZ	: 	586136 	664966 	586648 	371759 	392880 	539878 	504838 	603876 	648202 	525861 	281672 	608863 	436437 	342977 	252416 	288059 
EXP_IEU28,MT_FER,THS_EUR,DE	: 	2643346 	3098357 	2908060 	2283424 	2633007 	3244986 	3097686 	3576637 	3749182 	3207597 	1548011 	3256204 	3352335 	2563571 	1943998 	1964940 
EXP_IEU28,MT_FER,THS_EUR,DK	: 	203646 	251234 	263894 	247616 	241492 	314103 	205276 	302921 	421410 	365054 	242461 	427194 	467305 	353031 	227728 	246713 
EXP_IEU28,MT_FER,THS_EUR,EE	: 	45311 	47709 	40641 	12396 	11020 	19267 	23673 	56029 	61220 	61118 	24034 	54786 	33799 	38092 	26820 	18592 
EXP_IEU28,MT_FER,THS_EUR,EL	: 	5690 	7612 	6768 	3960 	1610 	7361 	10777 	15970 	26734 	20568 	9672 	18882 	21287 	22043 	11617 	15898 
EXP_IEU28,MT_FER,THS_EUR,ES	: 	185195 	262709 	159447 	118619 	127163 	191643 	149843 	179345 	168566 	116765 	63314 	98123 	115127 	61020 	47751 	54120 
EXP_IEU28,MT_FER,THS_EUR,EU28	: 	9516753 	10958595 	10009216 	7597218 	8647572 	10758639 	10340589 	11979045 	13044963 	11314284 	5991973 	12527770 	11793231 	9606405 	7004802 	7519106 
EXP_IEU28,MT_FER,THS_EUR,FI	: 	63790 	73986 	70897 	45274 	51316 	72942 	88328 	80947 	69797 	35457 	33444 	45476 	54860 	40385 	26130 	21210 
EXP_IEU28,MT_FER,THS_EUR,FR	: 	1548332 	1734072 	1563067 	1106086 	1326591 	1785736 	1707737 	1869724 	1989837 	1827503 	1033003 	2137515 	1917439 	1639016 	1114273 	1194111 
EXP_IEU28,MT_FER,THS_EUR,HR	: 	52696 	65018 	75118 	52138 	47328 	58847 	65982 	89603 	90664 	67663 	34983 	68915 	71389 	65000 	43869 	45397 
EXP_IEU28,MT_FER,THS_EUR,HU	: 	197044 	249672 	220947 	165383 	186440 	246669 	271661 	323272 	377763 	258887 	101178 	197432 	153939 	144731 	142252 	158866 
EXP_IEU28,MT_FER,THS_EUR,IE	: 	118246 	135103 	113753 	70878 	80792 	117564 	104683 	129085 	175248 	129573 	75726 	148838 	123348 	102405 	76658 	75198 
EXP_IEU28,MT_FER,THS_EUR,IT	: 	156860 	189211 	160151 	119460 	110848 	88986 	72168 	90090 	119270 	96902 	50119 	184045 	138139 	84004 	52414 	110035 
EXP_IEU28,MT_FER,THS_EUR,LT	: 	30810 	39744 	25062 	18510 	26028 	52890 	70893 	123094 	104275 	86223 	40021 	69443 	64238 	49930 	40508 	52562 
