stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EXP,CAN,THS_EUR,DK	265773 	238444 	234245 	229960 	168086 	174070 	182126 	175466 	176365 	199986 	168416 	123958 	157785 	161738 	174730 	106040 	101039 
EXP,CAN,THS_EUR,EE	31257 	29434 	39759 	40089 	29906 	27624 	31013 	32473 	35347 	48794 	52575 	20527 	47926 	48809 	45345 	20249 	19909 
EXP,CAN,THS_EUR,EL	72461 	78014 	74567 	77067 	52812 	54083 	70374 	106827 	167043 	131961 	120185 	52557 	60781 	69178 	74401 	42747 	27033 
EXP,CAN,THS_EUR,ES	622399 	727550 	692598 	615309 	446387 	517744 	471910 	501303 	551229 	341484 	403102 	204090 	276970 	289276 	289000 	211453 	156826 
EXP,CAN,THS_EUR,EU27_2020	2602351 d	2841311 d	2901520 d	3101575 d	2363958 d	2823757 d	2877261 d	3103473 d	3628334 d	3668376 d	3211433 d	2231536 d	2402208 d	2546971 d	2389062 d	1544018 d	1034307 d
EXP,CAN,THS_EUR,EU28	: 	3690989 d	3736778 d	3885814 d	3096368 d	3552029 d	3659416 d	3862520 d	4674439 d	4818634 d	4138450 d	2920197 d	3269780 d	3047448 d	2952013 d	1911474 d	1320162 d
EXP,CAN,THS_EUR,FI	163514 	150192 	170927 	157314 	115812 	125460 	123810 	132204 	142497 	142048 	126353 	79989 	105237 	115301 	90744 	59257 	38603 
EXP,CAN,THS_EUR,FR	1158233 	1265525 	1400819 	1400111 	1142598 	1277257 	1431412 	1411386 	1583703 	1658120 	1378665 	743185 	1207213 	1397046 	1421532 	793194 	651006 
EXP,CAN,THS_EUR,HR	71525 	79340 	88980 	72158 	51118 	66189 	62866 	76283 	95592 	88992 	77887 	38369 	60486 	73943 	63043 	27418 	20549 
EXP,CAN,THS_EUR,HU	239542 	261821 	270099 	243159 	195064 	202290 	222254 	254548 	272099 	249263 	131796 	89975 	105377 	128021 	143759 	119340 	90024 
EXP,CAN,THS_EUR,IE	64288 	78506 	77840 	68693 	51262 	54982 	59378 	59423 	68143 	72576 	71674 	42237 	74116 	70110 	67353 	43405 	42672 
EXP,CAN,THS_EUR,IT	664745 	715829 	715242 	723118 	626871 	623988 	552505 	567139 	704446 	633031 	625414 	396728 	482226 	449504 	365900 	252677 	192739 
EXP,CAN,THS_EUR,LT	65533 	88770 	81328 	61198 	62790 	79011 	68032 	50366 	34140 	22438 	11819 	8409 	14841 	16115 	16451 	12454 	14520 
EXP,CAN,THS_EUR,LU	19004 	21231 	20969 	17369 	16343 	18743 	10681 	11988 	13843 	13459 	14366 	10485 	21153 	34586 	30234 	24954 	16311 
EXP,CAN,THS_EUR,LV	27852 	25758 	29418 	35541 	28629 	33914 	33208 	33315 	36629 	81610 	51626 	40363 	31596 	30335 	30333 	21158 	14059 
EXP,CAN,THS_EUR,MT	1274 	1310 	3001 	2276 	1724 	4549 	4796 	4880 	6183 	4992 	4106 	2951 	3292 	3821 	3201 	2123 	2027 
EXP,CAN,THS_EUR,NL	1151634 	1132208 	1254102 	1257719 	1128350 	1371142 	1147798 	1114665 	1372152 	1388535 	1103530 	790360 	945313 	1113285 	1083737 	576667 	446288 
EXP,CAN,THS_EUR,PL	635867 	704986 	731604 	597713 	465204 	475389 	440184 	417904 	406704 	448439 	461666 	260242 	403263 	400158 	349061 	175968 	136571 
EXP,CAN,THS_EUR,PT	205289 	178867 	184205 	163933 	143595 	156654 	169188 	172569 	219802 	199355 	184668 	77273 	123394 	152561 	191891 	128554 	89715 
EXP,CAN,THS_EUR,RO	154610 	170446 	175371 	157402 	125778 	147202 	179902 	216780 	276392 	294663 	241031 	144467 	158892 	167118 	189119 	54362 	28726 
EXP,CAN,THS_EUR,SE	328539 	334371 	343206 	308469 	241095 	259390 	274895 	254670 	286652 	269481 	207577 	149942 	247188 	259802 	195011 	135096 	110051 
EXP,CAN,THS_EUR,SI	140509 	162818 	159794 	139553 	110228 	123082 	132990 	134530 	164483 	135250 	128136 	58512 	82446 	107871 	99281 	47254 	35087 
EXP,CAN,THS_EUR,SK	140647 	169709 	205983 	183184 	128410 	127922 	131712 	209391 	174850 	146941 	124237 	70695 	178047 	111947 	93392 	48869 	26682 
EXP,CAN,THS_EUR,UK	: 	1559560 	1548916 	1496264 	1426278 	1474730 	1623936 	1612213 	2134862 	2308856 	1986457 	1194302 	1803032 	1613280 	1459161 	870943 	681938 
EXP,MT_FER,T,AT	1212688 	1077988 	1060666 	1260840 	1129302 	1072816 	1059806 	965575 	1016430 	959931 	1038945 	1073146 	1365715 	1285616 	1148496 	1031172 	1161533 
EXP,MT_FER,T,BE	4067196 	3787084 	4034556 	3898528 	3558931 	3154014 	3940563 	3276759 	3612293 	3519256 	3721634 	3238540 	2935714 	2922566 	2936606 	2724465 	2826957 
EXP,MT_FER,T,BG	451172 	433203 	409428 	403868 	243131 	238253 	404535 	615003 	736590 	872715 	938830 	493295 	732105 	674360 	722261 	784778 	769559 
EXP,MT_FER,T,CY	82136 	83702 	70364 	69212 	58185 	64308 	78944 	103981 	136351 	138529 	96653 	80349 	72359 	63638 	65998 	55240 	46261 
EXP,MT_FER,T,CZ	2188203 	2263593 	2286835 	2254265 	1810552 	1767467 	2061386 	1911717 	2052359 	2056045 	1823724 	1443524 	1820145 	1678058 	1485145 	1730181 	1441019 
EXP,MT_FER,T,DE	8233648 	8600093 	8779804 	8800323 	8674637 	8106113 	9487994 	9236668 	9809707 	9966258 	9658168 	7480580 	8739760 	8503921 	8328429 	7749062 	8204800 
EXP,MT_FER,T,DK	1507736 	1479585 	1632950 	1575387 	1568449 	1267921 	1692031 	1247168 	1323937 	1491807 	1501430 	1349073 	1621396 	1522925 	1166378 	1310454 	1434592 
EXP,MT_FER,T,EE	407414 	407264 	500853 	562120 	372474 	301134 	433111 	519874 	631840 	563075 	527428 	384303 	650360 	572216 	662863 	525628 	358433 
EXP,MT_FER,T,EL	59891 	38660 	69420 	38295 	16715 	24513 	63018 	70956 	55987 	49640 	63864 	86399 	37124 	59454 	74817 	42227 	62430 
EXP,MT_FER,T,ES	630660 	563894 	666218 	411231 	338730 	358277 	619809 	562100 	765662 	409353 	293884 	306335 	212490 	182763 	139995 	139762 	195349 
EXP,MT_FER,T,EU27_2020	17411936 d	15579414 d	15095092 d	13409546 d	11713547 d	9135094 d	12274781 d	12470941 d	14812768 d	14165570 d	14402658 d	12215407 d	9557638 d	8144721 d	7515262 d	7854293 d	8677142 d
